sentence,span,type,uri,relation,question,gold givenName
"His brightest years were those divided betwixt London and Paris, < when he formed one of the quartet - with Madame Grisi, Signori Lablache and Tamburini; his most luerdtive | professional’ days were possibly those last ones spent in St. Petersburgh, where H- M. the - Czar, to do him honor, made him Colonel of a regiment.",Czar,person,(Q130734),given name,What is the given name of Czar?,Nikolay
"The connecting link between Mozart the dramatic composer, and Mozart in his Masses, was « Mr. Frank Novello, formerly prompter at the Opera in the palmy days of Taylor’s management, and also principal bass at the Portuguese Ambassador's Chapel in South - street, Grosvenor - square, where his brother was organist.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"The connecting link between Mozart the dramatic composer, and Mozart in his Masses, was « Mr. Frank Novello, formerly prompter at the Opera in the palmy days of Taylor’s management, and also principal bass at the Portuguese Ambassador's Chapel in South - street, Grosvenor - square, where his brother was organist.",Mozart,person,(Q254),given name,What is the given name of Mozart?,Wolfgang; Amadé
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Professor Morgan,person,(Q208448),given name,What is the given name of Professor Morgan?,Augustus
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Hermogenes,person,(Q1336424),given name,What is the given name of Hermogenes?,
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Euclid,person,(Q8747),given name,What is the given name of Euclid?,Ευκλείδης
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Cardan,person,(Q184530),given name,What is the given name of Cardan?,Gerolamo
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Giordano Bruno,person,(Q36330),given name,What is the given name of Giordano Bruno?,Q17485423
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Vanini,person,(Q553128),given name,What is the given name of Vanini?,Giulio; Cesare
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Spinoza,person,(Q35802),given name,What is the given name of Spinoza?,Baruch; Benedikt
"Would the students in the London University be satisfied with Professor Morgan, if, in what he designated a course of lectures on Mathematics, he were content to regale them with a narrative of the life and adventures of Hermogenes — the birth and parentage of Euclid — the amours and idiosyncracies of Cardan the burning alive of Giordano Bruno and Vanini the simplicity and ingenious nature of the moral character of Spinoza — or the interesting peculiarities of Sir Isaac Newton’s dog?",Sir Isaac Newton,person,(Q935),given name,What is the given name of Sir Isaac Newton?,Q5920537
"The rumour that the Church Choral Society will not sing this season has received recent confirmation, and this, if true, will leave the field in New York for choruses of moderate size open to the Musical Art Society (under Mr. Frank Damrosch), the New York Musical Society (under Mr. Dossert), and the new Harlem Oratorio Society.",Mr. Frank Damrosch,person,(Q962237),given name,What is the given name of Mr. Frank Damrosch?,Frank
"La Clemenza di Tito was the first, in which‘a French lady, under the riame of Signora Clarini, took the part of Servilia, and a Madame’ Graziani filled the character ef Annio, both of which were massacred in their hands, and the whole opera necessarily partook in the - ruin.",Servilia,person,(Q63534091),given name,What is the given name of Servilia?,
"La Clemenza di Tito was the first, in which‘a French lady, under the riame of Signora Clarini, took the part of Servilia, and a Madame’ Graziani filled the character ef Annio, both of which were massacred in their hands, and the whole opera necessarily partook in the - ruin.",Annio,person,(Q63534077),given name,What is the given name of Annio?,
"Both however appeared we believe at last at Dr. Crotch’s, though. but for the very kind assistance of Madame Caradori, the poor Doctor would have had no little difficulty in - getting his Pavestine per- formed, notwithstanding it had been so long separately and specially announced that both Miss Stephens and Miss Paton were engaged to sing in it.",Dr. Crotch,person,(Q718709),given name,What is the given name of Dr. Crotch?,William
"Both however appeared we believe at last at Dr. Crotch’s, though. but for the very kind assistance of Madame Caradori, the poor Doctor would have had no little difficulty in - getting his Pavestine per- formed, notwithstanding it had been so long separately and specially announced that both Miss Stephens and Miss Paton were engaged to sing in it.",Madame Caradori,person,(Q16065895),given name,What is the given name of Madame Caradori?,Maria
"Both however appeared we believe at last at Dr. Crotch’s, though. but for the very kind assistance of Madame Caradori, the poor Doctor would have had no little difficulty in - getting his Pavestine per- formed, notwithstanding it had been so long separately and specially announced that both Miss Stephens and Miss Paton were engaged to sing in it.",Miss Stephens,person,(Q5052928),given name,What is the given name of Miss Stephens?,Catherine
"Both however appeared we believe at last at Dr. Crotch’s, though. but for the very kind assistance of Madame Caradori, the poor Doctor would have had no little difficulty in - getting his Pavestine per- formed, notwithstanding it had been so long separately and specially announced that both Miss Stephens and Miss Paton were engaged to sing in it.",Miss Paton,person,(Q16888398),given name,What is the given name of Miss Paton?,Ann; Mary
"The principal novelty of the Concert on the 1st ult. was “La Naissance de Venus,’ scéne mythologique, by M. Paul Collin, set to music by M. G. Fauré, an important work carefully scored, but wanting in the charm to which this.graceful composer has accustomed us.",M. Paul Collin,person,(Q3370911),given name,What is the given name of M. Paul Collin?,Paul
"The principal novelty of the Concert on the 1st ult. was “La Naissance de Venus,’ scéne mythologique, by M. Paul Collin, set to music by M. G. Fauré, an important work carefully scored, but wanting in the charm to which this.graceful composer has accustomed us.",M. G. Fauré,person,(Q104919),given name,What is the given name of M. G. Fauré?,Gabriel; Urbain
"Once again the same very peculiar metre appears in a hymn tune which Dr. Gauntlett ascribes to one Braun (whoever he may have been) as the author, and to the year 1675 asthe date; and this coincidence, if the ascription be authentic, is as curious as the other.",Dr. Gauntlett,person,(Q11925412),given name,What is the given name of Dr. Gauntlett?,Henry; John
"The productions of Tallis, Birde, Morley, and Farrant, of Gibbons and Child, of Blow and Purcell, of Croft, Greene, Boyce, Nares, and we might add others, are not only excellent qguoad compositions, but equally perfect as forming a part of our religious worship: they never for a moment lose the true devotional character, though their difference from each other, in many respects, is as wide as the several periods at which they were written.",Tallis,person,(Q207789),given name,What is the given name of Tallis?,Thomas
