sentence,span,type,uri,relation,question,gold CoC
"Mr. Sims Reeves made a genuine hit in Arthur Sullivan’s song,",Mr. Sims Reeves,person,(Q7521239),country of citizenship,What is the country of citizenship of Mr. Sims Reeves?,United Kingdom of Great Britain and Ireland
"Mr. Sims Reeves made a genuine hit in Arthur Sullivan’s song,",Arthur Sullivan,person,(Q212692),country of citizenship,What is the country of citizenship of Arthur Sullivan?,United Kingdom of Great Britain and Ireland
"Mr. Sams, St. James's Street; and at M. Jullien’s office, 3, Maddox Street, Bond Street.",M. Jullien,person,(Q660539),country of citizenship,What is the country of citizenship of M. Jullien?,France
"Seven Years of the King’s Theatre, by J ohn Ebers, late Manager of the King’s Theatre in the Haymarket.",J ohn Ebers,person,(Q6231101),country of citizenship,What is the country of citizenship of J ohn Ebers?,
"We have had a French opera, at the head of which was M. ‘Nourrit, first tenor of the Academie Royale de Musique.",M. ‘ Nourrit,person,(Q634623),country of citizenship,What is the country of citizenship of M. ‘ Nourrit?,France
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Rubini,person,(Q941040),country of citizenship,What is the country of citizenship of Rubini?,
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Tamburini,person,(Q605376),country of citizenship,What is the country of citizenship of Tamburini?,Kingdom of Italy
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Lablache,person,(Q477681),country of citizenship,What is the country of citizenship of Lablache?,
"In short, we may say, that to hear such an opera as La Gazza Ladra performed by such singers as Rubini, Tamburini, Lablache, Graziani, Malibran, and Mariano, is the perfection of dramatic music.",Malibran,person,(Q232783),country of citizenship,What is the country of citizenship of Malibran?,France
"adapted to the Airs, including upwards of ONE Hunprep Sones dy Burns.",Burns,person,(Q81960),country of citizenship,What is the country of citizenship of Burns?,Kingdom of Great Britain
"Spontini's Vestale has been repeated, and met with considerable applause.",Spontini,person,(Q168485),country of citizenship,What is the country of citizenship of Spontini?,Kingdom of Prussia; First French Empire; Papal States
"At some concerts, at the Feydeau, i in 1794, he executed some concerted symphonies of Devienne’s Sy with M. Huguot, Frederic and Charles Duvernoy.",Charles Duvernoy,person,(Q1064184),country of citizenship,What is the country of citizenship of Charles Duvernoy?,France
< < La voix de téte de Mademoiselle Pasta 2,Mademoiselle Pasta,person,(Q240963),country of citizenship,What is the country of citizenship of Mademoiselle Pasta?,Kingdom of Italy; Kingdom of Lombardy–Venetia; Cisalpine Republic; Kingdom of Italy; Italian Republic
"The programme included some favourite songs, and Balfe’s duet",Balfe,person,(Q434171),country of citizenship,What is the country of citizenship of Balfe?,United Kingdom of Great Britain and Ireland
"I composed these variations to a Theme which had already been varied by Paganini, I had no intention of publishing them.",Paganini,person,(Q66075),country of citizenship,What is the country of citizenship of Paganini?,Republic of Genoa
"Weber’s Concert Stiick tells a complete story of anxiety in absence, a knight’s return, his true love",Weber,person,(Q154812),country of citizenship,What is the country of citizenship of Weber?,Prince-Bishopric of Lübeck
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Arthur O’ Leary,person,(Q17984779),country of citizenship,What is the country of citizenship of Arthur O’ Leary?,Ireland
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Brinley Richards,person,(Q4850963),country of citizenship,What is the country of citizenship of Brinley Richards?,Wales; United Kingdom of Great Britain and Ireland
"H. R. Eyers, Walter Fitton, S. Kemp, Arthur O’ Leary, Harold Thomas, Brinley Richards, Frederick Westlake, T. Wingham, and the Principal.",Frederick Westlake,person,(Q18546502),country of citizenship,What is the country of citizenship of Frederick Westlake?,
"In one of her most eloquent passages, Charlotte Bronté said: —",Charlotte Bronté,person,(Q127332),country of citizenship,What is the country of citizenship of Charlotte Bronté?,United Kingdom of Great Britain and Ireland
"Schumann was giving concerts there in Dresden with Joachim, the great. violinist.",Schumann,person,(Q7351),country of citizenship,What is the country of citizenship of Schumann?,Kingdom of Saxony
"Schumann was giving concerts there in Dresden with Joachim, the great. violinist.",Joachim,person,(Q159976),country of citizenship,What is the country of citizenship of Joachim?,Hungary
Mr. Ebers here canvasses the question whether a committee is best calculated to manage a theatre?,Mr. Ebers,person,(Q6231101),country of citizenship,What is the country of citizenship of Mr. Ebers?,
"It is copied from the original, in the hand - writing of the composer, and which, if we are rightly informed, is now - in the possession- of M. Schlesinger, the wellknown music - seller, at Paris.",M. Schlesinger,person,(Q70457),country of citizenship,What is the country of citizenship of M. Schlesinger?,Kingdom of Prussia
This is the most important of Cimador’s Ss arrarigements.,Cimador,person,(Q3762403),country of citizenship,What is the country of citizenship of Cimador?,Republic of Venice
"Antoine Barthelemi Bruni was born at Coni, in Piedmont, in 1752, and was a very distinguished violinist.",Antoine Barthelemi Bruni,person,(Q599823),country of citizenship,What is the country of citizenship of Antoine Barthelemi Bruni?,
Musical colouring has gained considerably by Rossini’s new operas.,Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
"— though it was excellently well performed by Phillips, Hill, and Severn.",Phillips,person,(Q18671452),country of citizenship,What is the country of citizenship of Phillips?,United Kingdom of Great Britain and Ireland
"Perluigi da Palestrina was born in the year 1529, at Palestrina, the Preeneste of the antients: he is stated by.",Perluigi da Palestrina,person,(Q179277),country of citizenship,What is the country of citizenship of Perluigi da Palestrina?,Papal States
"The musical arrangements were under the direction of the organist and choirmaster of the parish church, Mr. J. V, Roberts, Mus, Bac.","Mr. J. V , Roberts",person,(Q56183619),country of citizenship,"What is the country of citizenship of Mr. J. V , Roberts?",
"this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera.",Rameau,person,(Q1145),country of citizenship,What is the country of citizenship of Rameau?,Kingdom of France
"this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera.",Lully,person,(Q1192),country of citizenship,What is the country of citizenship of Lully?,Kingdom of France; Grand Duchy of Tuscany
"this means the enormous distance there is between Rameau and Lully, the most laboured works of the latter being almost childishly simple compared with Rameau’s first opera.",Rameau,person,(Q9726),country of citizenship,What is the country of citizenship of Rameau?,Papal States; Kingdom of Italy
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Madame Ronzi de Begnis,person,(Q3266332),country of citizenship,What is the country of citizenship of Madame Ronzi de Begnis?,United Kingdom
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Miss Stephens,person,(Q5052928),country of citizenship,What is the country of citizenship of Miss Stephens?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"* Sento oh Dio” — Madame Ronzi de Begnis, Miss Stephens, Signor Garcia, Signor de Begnis, and Mr. oo Phillips",Signor de Begnis,person,(Q3770409),country of citizenship,What is the country of citizenship of Signor de Begnis?,
", We - were never more, if indeed so much convinced, of Mr. Braham’s. superior natural and acquired endowment.",Mr. Braham,person,(Q1699393),country of citizenship,What is the country of citizenship of Mr. Braham?,United Kingdom of Great Britain and Ireland
"Tue refined and poetical vocal music of Mr. Salaman appears to be winning its way as speedily as it deserves, if we may judge from the list of his works which accompanies this song.",Mr. Salaman,person,(Q2959519),country of citizenship,What is the country of citizenship of Mr. Salaman?,United Kingdom of Great Britain and Ireland
"- Dittersdorf’s music to the Doctor and Apothecary, a drama translated and prepared for the stage by Mr. Cobb.",Dittersdorf,person,(Q78522),country of citizenship,What is the country of citizenship of Dittersdorf?,Austria
"- Dittersdorf’s music to the Doctor and Apothecary, a drama translated and prepared for the stage by Mr. Cobb.",Mr. Cobb,person,(Q6131504),country of citizenship,What is the country of citizenship of Mr. Cobb?,
"In March 1787, Storace, with his sister, returned to England.",Storace,person,(Q2369747),country of citizenship,What is the country of citizenship of Storace?,Kingdom of Great Britain
"name so Jong as Adelina Patti remains on the stage, which will be for two years more",Adelina Patti,person,(Q234166),country of citizenship,What is the country of citizenship of Adelina Patti?,Spain; Kingdom of Italy
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Bach,person,(Q1339),country of citizenship,What is the country of citizenship of Bach?,Holy Roman Empire; Saxe-Eisenach
"-The programme comprised selections from the works of Bach, Haydn, Mendelssohn, Bennett, Guilmant, Martini, & c., all of which were excellently",Haydn,person,(Q7349),country of citizenship,What is the country of citizenship of Haydn?,Holy Roman Empire
